"filename", "language", "Assembler file", "C", "Ini", "Makefile", "Properties", "C++", "comment", "blank", "total"
"/home/ysy/code/Os_wrtie/src/include/onix/string.h", "C++", 0, 0, 0, 0, 0, 18, 0, 4, 22
"/home/ysy/code/Os_wrtie/src/include/onix/task.h", "C++", 0, 0, 0, 0, 0, 40, 0, 9, 49
"/home/ysy/code/Os_wrtie/src/include/onix/time.h", "C++", 0, 0, 0, 0, 0, 20, 0, 5, 25
"/home/ysy/code/Os_wrtie/src/include/onix/types.h", "C", 0, 26, 0, 0, 0, 0, 3, 8, 37
"/home/ysy/code/Os_wrtie/src/kernel/assert.c", "C", 0, 33, 0, 0, 0, 0, 3, 8, 44
"/home/ysy/code/Os_wrtie/src/kernel/clock.c", "C", 0, 62, 0, 0, 0, 0, 4, 17, 83
"/home/ysy/code/Os_wrtie/src/kernel/console.c", "C", 0, 173, 0, 0, 0, 0, 24, 25, 222
"/home/ysy/code/Os_wrtie/src/kernel/debug.c", "C", 0, 12, 0, 0, 0, 0, 0, 2, 14
"/home/ysy/code/Os_wrtie/src/kernel/gate.c", "C", 0, 25, 0, 0, 0, 0, 0, 9, 34
"/home/ysy/code/Os_wrtie/src/kernel/global.c", "C", 0, 14, 0, 0, 0, 0, 5, 3, 22
"/home/ysy/code/Os_wrtie/src/kernel/handler.asm", "Assembler file", 166, 0, 0, 0, 0, 0, 0, 33, 199
"/home/ysy/code/Os_wrtie/src/kernel/interrupt.c", "C", 0, 173, 0, 0, 0, 0, 11, 32, 216
"/home/ysy/code/Os_wrtie/src/kernel/io.asm", "Assembler file", 50, 0, 0, 0, 0, 0, 0, 19, 69
"/home/ysy/code/Os_wrtie/src/kernel/main.c", "C", 0, 20, 0, 0, 0, 0, 3, 3, 26
"/home/ysy/code/Os_wrtie/src/kernel/memory.c", "C", 0, 198, 0, 0, 0, 0, 39, 56, 293
"/home/ysy/code/Os_wrtie/src/kernel/printk.c", "C", 0, 14, 0, 0, 0, 0, 0, 3, 17
"/home/ysy/code/Os_wrtie/src/kernel/rtc.c", "C", 0, 75, 0, 0, 0, 0, 12, 22, 109
"/home/ysy/code/Os_wrtie/src/kernel/schedule.asm", "Assembler file", 20, 0, 0, 0, 0, 0, 0, 9, 29
"/home/ysy/code/Os_wrtie/src/kernel/start.asm", "Assembler file", 26, 0, 0, 0, 0, 0, 0, 4, 30
"/home/ysy/code/Os_wrtie/src/kernel/task.c", "C", 0, 112, 0, 0, 0, 0, 5, 30, 147
"/home/ysy/code/Os_wrtie/src/kernel/time.c", "C", 0, 150, 0, 0, 0, 0, 11, 29, 190
"/home/ysy/code/Os_wrtie/src/lib/bitmap.c", "C", 0, 55, 0, 0, 0, 0, 8, 19, 82
"/home/ysy/code/Os_wrtie/src/lib/list.c", "C", 0, 99, 0, 0, 0, 0, 14, 23, 136
"/home/ysy/code/Os_wrtie/src/lib/stdlib.c", "C", 0, 56, 0, 0, 0, 0, 6, 10, 72
"/home/ysy/code/Os_wrtie/src/lib/string.c", "C", 0, 176, 0, 0, 0, 0, 2, 16, 194
"/home/ysy/code/Os_wrtie/src/lib/vsprintf.c", "C", 0, 285, 0, 0, 0, 0, 81, 50, 416
"/home/ysy/code/Os_wrtie/src/test/call.asm", "Assembler file", 16, 0, 0, 0, 0, 0, 0, 9, 25
"/home/ysy/code/Os_wrtie/src/test/makefile", "Makefile", 0, 0, 0, 14, 0, 0, 8, 4, 26
"/home/ysy/code/Os_wrtie/src/test/param.c", "C", 0, 10, 0, 0, 0, 0, 0, 2, 12
"/home/ysy/code/Os_wrtie/src/test/param.s", "Assembler file", 30, 0, 0, 0, 0, 0, 0, 1, 31
"/home/ysy/code/Os_wrtie/src/test/types.c", "C", 0, 27, 0, 0, 0, 0, 0, 5, 32
"Total", "-", 564, 1934, 26, 107, 0, 170, 354, 657, 3812
